position,summand
0,755
1,152
2,212
3,924
4,39
5,268
6,32
7,48
8,123
9,428
10,858
11,476
12,55
13,530
14,945
15,615
16,749
17,960
18,258
19,744
20,582
21,134
22,463
23,169
24,24
25,796
26,198
27,485
28,650
29,350
30,403
31,170
32,279
33,220
34,814
35,370
36,494
37,543
38,428
39,200
40,198
41,313
42,263
43,775
44,510
45,521
46,602
47,273
48,955
49,44
50,373
51,966
52,259
53,825
54,438
55,690
56,313
57,540
58,189
59,11
60,970
61,880
62,651
63,43
64,637
65,175
66,423
67,110
68,749
69,548
70,601
71,966
72,567
73,534
74,358
75,818
76,459
77,342
78,370
79,765
80,925
81,760
82,616
83,192
84,814
85,299
86,611
87,598
88,551
89,53
90,435
91,472
92,565
93,669
94,230
95,0
96,253
97,324
98,74
99,737
