serial,choice1_votecode,choice1_value,choice2_votecode,choice2_value
00,45795-73514-93224-93279,For,94368-21827-39422-88914,Against
01,45696-02585-19929-17237,For,72272-32942-24789-37190,Against
02,09065-31123-78807-71769,For,51905-19776-03214-11945,Against
03,35354-92199-51338-04880,For,94557-53606-28262-85476,Against
04,26417-84413-72560-92252,For,84260-17093-04484-47081,Against
05,83441-72894-24536-19244,For,09489-47973-80138-97824,Against
06,75585-42482-23177-60202,For,76430-82505-86655-98085,Against
07,79112-76511-79572-34508,For,44516-11693-72614-72579,Against
08,04916-34652-02297-04989,For,26020-79680-95907-53390,Against
09,10180-10036-95358-16283,For,31033-20215-56946-86772,Against
10,77060-88761-58926-27425,For,10577-90245-74298-26822,Against
11,34193-04123-32465-89742,For,71435-81470-76665-27489,Against
12,37785-35408-87032-81489,For,80985-30674-36966-55820,Against
13,69672-95178-78195-90001,For,77826-27678-79383-03818,Against
14,61689-46622-73145-34571,For,63038-78807-42743-85331,Against
15,04808-66413-72803-32140,For,84576-26697-35606-08589,Against
16,98166-19730-44831-39323,For,34382-94926-89788-94539,Against
17,18830-55055-05735-09551,For,28118-85449-34869-45155,Against
18,91794-08732-40538-52968,For,20747-06888-13169-88644,Against
19,85557-91839-58593-14573,For,29540-02017-12746-30070,Against
20,90137-13853-64703-11297,For,11279-50726-15158-69069,Against
21,75567-27128-28424-34139,For,80912-66404-19253-67205,Against
22,73271-42068-69195-47450,For,71615-38225-41780-06095,Against
23,10784-71480-76403-16157,For,57341-56856-03133-37343,Against
24,33338-24275-15941-37019,For,36209-75305-43913-99183,Against
25,27047-01153-81902-34517,For,86853-99426-92838-64028,Against
26,14753-53002-06617-73947,For,99589-92630-25337-02413,Against
27,06554-00640-59952-25850,For,34265-90993-47694-76944,Against
28,29397-40277-01388-06266,For,62741-47739-64910-60806,Against
29,85809-53598-32078-67944,For,83784-34616-24112-12043,Against
30,44354-31240-74991-39666,For,80237-99048-05249-53787,Against
31,18623-26967-64028-94773,For,16247-06897-61689-60563,Against
32,22529-15770-30223-05519,For,82820-06275-81056-55550,Against
33,96870-04998-62363-00631,For,67368-99282-21322-34896,Against
34,29757-76188-06004-00244,For,69951-02774-15392-72119,Against
35,93828-00451-71633-82794,For,33347-27560-47243-83289,Against
36,33392-92252-84675-78131,For,25300-73523-35921-29306,Against
37,56694-42509-32366-85007,For,14582-90821-07148-93134,Against
38,64181-38153-45416-32221,For,56540-23843-59475-79509,Against
39,01856-44066-21935-14618,For,93125-71804-94188-40132,Against
40,75639-05672-16959-73316,For,57954-86790-00776-85610,Against
41,64244-57422-59989-67610,For,20008-01603-54605-60851,Against
42,67719-63010-01270-74207,For,76043-96555-64451-27560,Against
43,11008-02026-78429-20828,For,86565-50960-72173-20855,Against
44,92612-46019-15383-94359,For,06806-66080-13556-50681,Against
45,25571-86970-85647-84855,For,06798-99147-91947-13475,Against
46,67593-17985-83234-00389,For,18281-22349-22330-29829,Against
47,32870-17363-14546-10793,For,67520-97545-96717-40033,Against
48,45065-59033-73307-19253,For,66224-56810-81281-14852,Against
49,12719-50320-30197-67575,For,23087-90443-49278-03638,Against
50,81768-74298-88167-52382,For,45830-78591-65199-95123,Against
